school name,head of school name,email adress of head of the school,school phone number,school information link
Blue School,Noah Reinhardt,noahr@blueschool.org,212-228-6341,https://www.nysais.org/page.cfm?p=2761
Brearley School,Jane Foley Fried,jfried@brearley.org,212-744-8582,https://www.nysais.org/page.cfm?p=106
Brick Church School,Amy Warden,awarden@brickchurch.org,212-289-5683,https://www.nysais.org/page.cfm?p=107
Bridges Academy - Provisional Member,Steven Rubenacker,stephen.rubenacker@bridgesli.org,631-358-5035,https://www.nysais.org/page.cfm?p=3884
British International School of New York - Associate Member,Jason Morrow,j.morrow@bis-ny.org,212-481-2700,https://www.nysais.org/page.cfm?p=2842
Brooklyn Friends School,Crissy Caceres,ccaceres@brooklynfriends.org,718-852-1029,https://www.nysais.org/page.cfm?p=108
Brooklyn Heights Montessori School,Stephanie Flanigan,not found ,718-858-5100,https://www.nysais.org/page.cfm?p=109
Brooklyn Waldorf School - Provisional Member,Christina Pantazis-Blades,christina@brooklynwaldorf.org,718-783-3279,https://www.nysais.org/page.cfm?p=3924
Brown School,Patricia Vitale,pvitale@brownschool.org,518-370-0366,https://www.nysais.org/page.cfm?p=111
Browning School,John Botti,jbotti@browning.edu,212-838-6280,https://www.nysais.org/page.cfm?p=112
"Brownstone School, The",Felicia Gordon,felicia@brownstoneschool.org,212-874-1341,https://www.nysais.org/page.cfm?p=2516
Buckley Country Day School,Jean-Marc Juhel,jmjuhel@buckleycountryday.com,516-627-1910,https://www.nysais.org/page.cfm?p=113
Buckley School,Gregory J. O'Melia,gomelia@buckleyschool.org,212-535-8787,https://www.nysais.org/page.cfm?p=114
Buffalo Seminary,Helen Marlette,hmarlette@buffaloseminary.org,716-885-6780,https://www.nysais.org/page.cfm?p=115
Caedmon School,Matthew Stuart,stuart@caedmonschool.org,212-879-2296,https://www.nysais.org/page.cfm?p=116
Calhoun School,Steven Solnick,steven.solnick@calhoun.org,212-497-6500,https://www.nysais.org/page.cfm?p=117
Canisius High School,"David Ciancimino, S.J.",ciancimino@canisiushigh.org,716-882-0466,https://www.nysais.org/page.cfm?p=118
Cathedral School of St. John the Divine,Erica Corbin,ecorbin@cathedralnyc.org,212-316-7500,https://www.nysais.org/page.cfm?p=119
Chapin School,Suzanne Fogarty,sfogarty@chapin.edu,212-744-2335,https://www.nysais.org/page.cfm?p=121
Chelsea Day School,Jean Rosenberg,not found ,212-675-8541,https://www.nysais.org/page.cfm?p=2844
Children's Academy - Provisional Member,Deborah Blenman-Green,not found ,646-823-9909,https://www.nysais.org/page.cfm?p=4293
Churchill School and Center,Timothy Madigan,tmadigan@churchillschoolnyc.org,212-722-0610,https://www.nysais.org/page.cfm?p=123
City and Country School,Scott Moran,scottm@cityandcountry.org,212-242-7802,https://www.nysais.org/page.cfm?p=124
Collegiate School,David Lourie,dlourie@collegiateschool.org,212-812-8500,https://www.nysais.org/page.cfm?p=125
Columbia Grammar and Preparatory School,William Donohue,bdonohue@cgps.org,212-749-6200,https://www.nysais.org/page.cfm?p=126
Convent of the Sacred Heart,Joseph Ciancaglini,jciancaglini@cshnyc.org,212-722-4745,https://www.nysais.org/page.cfm?p=127
Cooke School and Institute,Francis Tabone,ftabone@cookeschool.org,646-273-5555,https://www.nysais.org/page.cfm?p=732
"Co-op School, The - Provisional School",Deanna Bocchetti,deanna@thecoopschool.org,3477213408,https://www.nysais.org/page.cfm?p=3821
Corlears School,David Egolf,davide@corlearsschool.org,212-741-2800,https://www.nysais.org/page.cfm?p=128
Cornelia Connelly Center,Caroline Erisman,not found ,212-982-2287,https://www.nysais.org/page.cfm?p=2762
Cristo Rey Brooklyn High School,William Ford,not found ,notfound ,https://www.nysais.org/page.cfm?p=3358
Cristo Rey New York High School,Daniel Dougherty,not found ,212-996-7000,https://www.nysais.org/page.cfm?p=666
Dalton School,Ellen Stein,es1@dalton.org,212-423-5200,https://www.nysais.org/page.cfm?p=129
Darrow School,Andy Vadnais,vadnaisa@darrowschool.org,518-704-2760,https://www.nysais.org/page.cfm?p=130
De La Salle Academy,Angel Gonzalez,agonzalez@dlsanyc.org,212-316-5840,https://www.nysais.org/page.cfm?p=131
Doane Stuart School,David Wells,dwells@doanestuart.org,518-465-5222,https://www.nysais.org/page.cfm?p=132
Dominican Academy - Provisional Member,Leslie Petit,lpetit@dominicanacademy.org,212-744-0195,https://www.nysais.org/page.cfm?p=4254
Dutchess Day School,Matt Heard,mheard@dutchessday.org,845-677-5014,https://www.nysais.org/page.cfm?p=133
Dwight School - Associate Member,Dianne Drew,ddrew@dwight.edu,212-724-6360,https://www.nysais.org/page.cfm?p=134
Early Steps - Association Member,Jacqueline Pelzer,not found ,212-288-9684,https://www.nysais.org/page.cfm?p=332
East Woods School,Laura Kang,lkang@eastwoods.org,516-922-4400,https://www.nysais.org/page.cfm?p=135
Education Collaborative of Western New York - Association Member,Eric Yarwood,eyarwood@edcowny.org,716-913-0565,https://www.nysais.org/page.cfm?p=2892
Education Records Bureau - Association Member,Thomas Rochon,trochon@erblearn.org,notfound ,https://www.nysais.org/page.cfm?p=3874
Elmwood Franklin School,Ryan Kimmet,rkimmet@elmwoodfranklin.org,716-877-5035,https://www.nysais.org/page.cfm?p=136
Emma Willard School,Jennifer Rao,jrao@emmawillard.org,518-833-1300,https://www.nysais.org/page.cfm?p=137
Episcopal School,Susan Sheahan,not found ,212-879-9764,https://www.nysais.org/page.cfm?p=138
Ethical Culture Fieldston School,Kyle Wilkie-Glass,kwilkie-glass@ecfs.org,718-329-7300,https://www.nysais.org/page.cfm?p=139
Fordham Preparatory School,"Rev. Christopher Devron, SJ",devronc@fordhamprep.org,718-367-7500,https://www.nysais.org/page.cfm?p=140
French-American School of New York,Francis Gianni,fgianni@fasny.org,914.250.0000,https://www.nysais.org/page.cfm?p=141
Friends Academy,Andrea Kelly,andrea_kelly@fa.org,516-676-0393,https://www.nysais.org/page.cfm?p=142
Friends Seminary,Robert Lauder,rlauder@friendsseminary.org,212-979-5030,https://www.nysais.org/page.cfm?p=143
Garden School,Christopher Herman,cherman@gardenschool.org,718-335-6363,https://www.nysais.org/page.cfm?p=144
"Gateway School, The",Laurie Gruhn,lgruhn@gatewayschool.org,212-777-5966,https://www.nysais.org/page.cfm?p=145
George Jackson Academy,Jay Underwood,not found ,212-228-6789,https://www.nysais.org/page.cfm?p=268
German International School New York,Lars Hierath,lhierath@gisny.org,914-948-6513,https://www.nysais.org/page.cfm?p=147
Gillen Brewer School,Rebecca Skinner,rebecca@gillenbrewer.com,212-831-3667,https://www.nysais.org/page.cfm?p=639
Gow School,"M. Bradley Rogers, Jr.",brogers@gow.org,716-652-3450,https://www.nysais.org/page.cfm?p=148
Grace Church School,George P. Davison,gdavison@gcschool.org,212-475-5609,https://www.nysais.org/page.cfm?p=149
Green Meadow Waldorf School,Laura Radefeld,lradefeld@gmws.org,845-356-2514,https://www.nysais.org/page.cfm?p=151
Green Vale School,Jesse N. Dougherty,jdougherty@greenvaleschool.org,516-621-2420,https://www.nysais.org/page.cfm?p=152
Greene Hill School,Diana Schlesinger,dschlesinger@greenehillschool.org,7182303608,https://www.nysais.org/page.cfm?p=3357
Hackley School,Michael Wirtz,mwirtz@hackleyschool.org,914-366-2600,https://www.nysais.org/page.cfm?p=153
Hannah Senesh Community Day School,Nicole Nash,nnash@hannahsenesh.org,718-858-8663,https://www.nysais.org/page.cfm?p=155
Harbor Country Day School,John Cissel,jcissel@hcdsny.org,631-584-5555,https://www.nysais.org/page.cfm?p=156
Harlem Academy,Vincent Dotoli,vdotoli@harlemacademy.org,(212) 348-2600,https://www.nysais.org/page.cfm?p=1580
Harley School,Larry Frye,lfrye@harleyschool.org,585-442-1770,https://www.nysais.org/page.cfm?p=157
Harvey School,William Knauer,wknauer@harveyschool.org,914-232-3161,https://www.nysais.org/page.cfm?p=158
Hawthorne Valley Waldorf School,Karin Almquist,kalmquist@hawthornevalleyschool.org,518-672-7092,https://www.nysais.org/page.cfm?p=159
Hebrew Academy of Long Beach - Provisional Member,Adrianne Mittan,amittan@halb.org,516-791-8200,https://www.nysais.org/page.cfm?p=3854
Hewitt School,Tara Christie Kinsey,tkinsey@hewittschool.org,212-288-1919,https://www.nysais.org/page.cfm?p=160
High Meadow School,Michelle Healy,michelleh@highmeadowschool.org,845-687-4855,https://www.nysais.org/page.cfm?p=852
Holy Child Academy,Arthur Viscusi,aviscusi@hcali.org,516-626-9300,https://www.nysais.org/page.cfm?p=333
Hoosac School,Dean S. Foster,deansfoster@hoosac.org,518-686-7331,https://www.nysais.org/page.cfm?p=162
Horace Mann School,Thomas M. Kelly,thomas_kelly@horacemann.org,718-432-4000,https://www.nysais.org/page.cfm?p=163
IDEAL School,Janet Wolfe,jwolfe@theidealschool.org,212-769-1699,https://www.nysais.org/page.cfm?p=490
International Preschools,Donna Cohen,dcohen@ipsnyc.org,212.371.8604,https://www.nysais.org/page.cfm?p=2396
International School of Brooklyn,Joe Santos,joesantos@isbrooklyn.org,718-369-3023,https://www.nysais.org/page.cfm?p=853
Keio Academy of New York,Motohiro Tsuchiya,rivy@keio.edu,914-694-4825,https://www.nysais.org/page.cfm?p=165
"Kew-Forest School, The",Carla MacMullen,cmacmullen@kewforest.org,718-268-4667,https://www.nysais.org/page.cfm?p=167
Knox School,Virginia Riccardi,vriccardi@knoxschool.org,631-686-1600,https://www.nysais.org/page.cfm?p=169
La Scuola D'Italia Guglielmo Marconi,Michael Prater,mprater@lascuoladitalia.org,212-369-3290,https://www.nysais.org/page.cfm?p=170
"Lang School, The - Provisional Member",Micaela Bracamonte,micaela.bracamonte@thelangschool.org,212-977-7777,https://www.nysais.org/page.cfm?p=3781
Lawrence Woodmere Academy,Brian O'Connell,boconnell@lawrencewoodmere.org,516-374-9000,https://www.nysais.org/page.cfm?p=171
LearningSpring School,Margaret Poggi,not found ,(212) 239-4926,https://www.nysais.org/page.cfm?p=491
"Leffell School, The",Michael Kay,mkay@leffellschool.org,914-948-8333,https://www.nysais.org/page.cfm?p=270
L̩man Manhattan Preparatory School - Associate Member,Maria Castelluccio,m.castelluccio@lemanmanhattan.org,212-232-0266,https://www.nysais.org/page.cfm?p=731
Lexington School for the Deaf - Provisional Member,Russell West,rwest@lexnyc.org,718-350-3050,https://www.nysais.org/page.cfm?p=3925
Little Red School House and Elisabeth Irwin High School,Phil Kassen,pkassen@lrei.org,notfound ,https://www.nysais.org/page.cfm?p=172
Long Island Lutheran Middle and High School,John Buck,john.buck@luhi.org,516-626-1700,https://www.nysais.org/page.cfm?p=173
Long Island School for the Gifted,Patricia Geyer,PGeyer@lisg.org,631-423-3557,https://www.nysais.org/page.cfm?p=174
Loyola School,Tony Oroszlany,aoroszlany@loyolanyc.org,212-288-3522,https://www.nysais.org/page.cfm?p=175
Luria Academy - Provisional Member,Amanda Pogany,amanda@luria-academy.org,718-398-3290,https://www.nysais.org/page.cfm?p=3944
Lyc̩e Fran̤ais de New York,Evelyne Estey,eestey@lfny.org,212-369-1400,https://www.nysais.org/page.cfm?p=176
Madison Avenue Presbyterian Church Day School,Laura Graham,mapds@mapc.com,212-288-9638,https://www.nysais.org/page.cfm?p=177
Manhattan Country School,Corey Blay,cblay@manhattancountryschool.org,212-348-0952,https://www.nysais.org/page.cfm?p=178
Manhattan Day School - Provisional Member,David Loewenberg,not found ,notfound ,https://www.nysais.org/page.cfm?p=3822
Manhattan High School for Girls,Estee Friedman,friedmane@manhattan-hs.org,212-737-6800,https://www.nysais.org/page.cfm?p=179
Manlius Pebble Hill School,David McCusker,dmccusker@mphschool.org,315-446-2452,https://www.nysais.org/page.cfm?p=180
Maplebrook School,Jennifer Scully,jscully@maplebrookschool.org,845-373-9511,https://www.nysais.org/page.cfm?p=181
Martin Luther  School,James Regan,JRegan@martinluthernyc.org,718-894-4000,https://www.nysais.org/page.cfm?p=182
Mary McDowell Friends School,Debbie Zlotowitz,debbiez@mmfsnyc.org,718-625-3939,https://www.nysais.org/page.cfm?p=183
Marymount School of New York,Concepcion Alvar,calvar@marymountnyc.org,212-744-4486,https://www.nysais.org/page.cfm?p=184
Masters School,Laura Danforth,laura.danforth@mastersny.org,914-479-6400,https://www.nysais.org/page.cfm?p=185
McQuaid Jesuit High School,Philip Judge,pjudge@mcquaid.org,(585) 473-1130,https://www.nysais.org/page.cfm?p=2454
Metropolitan Montessori School,Racheal Adriko,radriko@mmsny.org,212-579-5525,https://www.nysais.org/page.cfm?p=187
Millbrook School,Jonathan Downs,jdowns@millbrook.org,845-677-8261,https://www.nysais.org/page.cfm?p=188
New York Interschool - Association Member,Adrienne Barr,not found ,212-501-0031,https://www.nysais.org/page.cfm?p=722
Nichols School,Christopher Burner,cburner@nicholsschool.org,716-332-6300,https://www.nysais.org/page.cfm?p=193
Nightingale-Bamford School,Paul Burke,pburke@nightingale.org,212-289-5020,https://www.nysais.org/page.cfm?p=194
Norman Howard School,Joseph Martino,not found ,585-334-8010,https://www.nysais.org/page.cfm?p=195
North Country School,Todd Ormiston,tormiston@northcountryschool.org,518-523-9329,https://www.nysais.org/page.cfm?p=196
North Shore Hebrew Academy High School,Dr. Daniel J. Vitow,dvitow@nshahs.org,516-487-2424,https://www.nysais.org/page.cfm?p=197
Northwood School,Michael Maher,maherm@northwoodschool.org,518-523-3357,https://www.nysais.org/page.cfm?p=198
Notre Dame School of Manhattan,"Dr. Virginia O'Brien, S.U.",obrienv@cheznous.org,212-620-5575,https://www.nysais.org/page.cfm?p=2843
Oakwood Friends School,Chad Cianfrani,ccianfrani@oakwoodfriends.org,845-462-4200,https://www.nysais.org/page.cfm?p=199
"Oliver Scholars Program, The - Association Member",Danielle Moss,not found ,212-430-5980,https://www.nysais.org/page.cfm?p=3359
Packer Collegiate Institute,Jennifer Weyburn,jweyburn@packer.edu,718-250-0222,https://www.nysais.org/page.cfm?p=201
Parents League of New York - Association Member,Barbara Scott,not found ,notfound ,https://www.nysais.org/page.cfm?p=3322
"Park School of Buffalo, The",Lisa Conrad,lconrad@theparkschool.org,716-839-1242,https://www.nysais.org/page.cfm?p=202
"Parkside School, The",Albina Miller,amiller@parksideschool.org,212-721-8888,https://www.nysais.org/page.cfm?p=203
Peconic Community School - Provisional Member,Kathryn Quigley,kathryn@peconiccommunityschool.org,631-779-2934,https://www.nysais.org/page.cfm?p=3853
Poly Prep Country Day School,Audrius Barzdukas,abarzdukas@polyprep.org,718-836-9800,https://www.nysais.org/page.cfm?p=204
Portledge School,Simon Owen-Williams,sowenwilliams@portledge.org,516-750-3100,https://www.nysais.org/page.cfm?p=205
Prep for Prep - Association Member,Jackson Collins,jcollins@prepforprep.org,212-579-1390,https://www.nysais.org/page.cfm?p=207
Professional Children's School,James Dawson,jdawson@pcs-nyc.org,212-582-3116,https://www.nysais.org/page.cfm?p=208
"Quad Preparatory School, The - Provisional Member",Kim Busi,kbusi@quadprep.org,646-649-3913,https://www.nysais.org/page.cfm?p=3878
Ramaz School,Jonathan Cannon,CannonJ@ramaz.org,212-774-8000,https://www.nysais.org/page.cfm?p=209
Regis High School,Christian Talbot,ctalbot@regis.org,212-288-1100,https://www.nysais.org/page.cfm?p=210
Resurrection Episcopal Day School,Sharon Lickerman,sharon.lickerman@redsny.org,212-535-9666,https://www.nysais.org/page.cfm?p=211
Rippowam Cisqua School,Colm MacMahon,macmahon@rcsny.org,914-244-1250,https://www.nysais.org/page.cfm?p=212
Riverdale Country School,Dominic Randolph,drandolph@riverdale.edu,718-549-8810,https://www.nysais.org/page.cfm?p=213
Robert C. Parker School,Jennifer Gresens,jgresens@parkerschool.org,518-286-3449,https://www.nysais.org/page.cfm?p=214
Robert College of Istanbul,Adam Oliver,aoliver@robcol.k12.tr,212-843-5550,https://www.nysais.org/page.cfm?p=215
Robert Louis Stevenson School,Chris Ongaro,congaro@stevenson-school.org,212-787-6400,https://www.nysais.org/page.cfm?p=216
Rodeph Sholom School,Daniel Karpf,not found ,646-438-8550,https://www.nysais.org/page.cfm?p=218
Ross School,Andrea Chesley,Achesley@ross.org,631-907-5000,https://www.nysais.org/page.cfm?p=334
Rudolf Steiner School,Gabriela Cordo,gcordo@steiner.edu,646-626-8605,https://www.nysais.org/page.cfm?p=219
Rye Country Day School,Scott Nelson,scott_nelson@ryecountryday.org,914-967-1417,https://www.nysais.org/page.cfm?p=220
Saint Ann's School,Vincent Tompkins,vtompkins@saintannsny.org,718-522-1660,https://www.nysais.org/page.cfm?p=221
Saint David's School,P. David O'Halloran,dohalloran@saintdavids.org,212-369-0058,https://www.nysais.org/page.cfm?p=223
Saint Gregory's School,Kathryn Helm,khelm@saintgregorysschool.org,518-785-6621,https://www.nysais.org/page.cfm?p=226
Saint Thomas Choir School,Chris Seeley,headmaster@choirschool.org,212-247-3311,https://www.nysais.org/page.cfm?p=230
SAR Academy & SAR High School,Debra May,not found ,718-548-1717,https://www.nysais.org/page.cfm?p=1137
Saratoga Independent School,Robert Ahrens,not found ,518-583-0841,https://www.nysais.org/page.cfm?p=400
Schechter Manhattan,Debby Hirshman,debbyhirshman@schechtermanhattan.org,212-427-9500,https://www.nysais.org/page.cfm?p=2549
Schechter School of Long Island,Scott Sokol,ssokol@schechterli.org,516-539-3700,https://www.nysais.org/page.cfm?p=2796
"School at Columbia University, The",Amani Reed,headofschool@theschool.columbia.edu,212-851-4215,https://www.nysais.org/page.cfm?p=272
School of the Holy Child,Colleen Pettus,c.pettus@holychildrye.org,914-967-5622,https://www.nysais.org/page.cfm?p=231
"Shefa School, The - Provisional Member",Ilana Ruskay-Kidd,ilana.ruskaykidd@shefaschool.org,212-873-1300,https://www.nysais.org/page.cfm?p=3926
Smith School - Associate Member,Karen Smith,ksmith@smithschool.org,212-879-6354,https://www.nysais.org/page.cfm?p=2841
Spence School,Bodie Brizendine,bbrizendine@spenceschool.org,212-289-5940,https://www.nysais.org/page.cfm?p=235
"Speyer Legacy School, The",Larry Donovan,ldonovan@speyerschool.org,212-581-4000,https://www.nysais.org/page.cfm?p=3320
St. Bernard's School,Evan Moraitis,not found ,212-289-2878,https://www.nysais.org/page.cfm?p=222
St. Hilda's and St. Hugh's School,Virginia Connor,vconnor@sthildas.org,212-932-1980,https://www.nysais.org/page.cfm?p=227
St. Ignatius School,Richard Darrell,rdarrell@sis-nativity.org,718-861-9084,https://www.nysais.org/page.cfm?p=3554
St. Luke's School,Bart Baldwin,bbaldwin@stlukeschool.org,212-924-5960,https://www.nysais.org/page.cfm?p=228
Staten Island Academy,Albert R. Cauz,acauz@statenislandacademy.org,718-987-8100,https://www.nysais.org/page.cfm?p=236
Stephen Gaynor School,Scott Gaynor,sgaynor@stephengaynor.org,212-787-7070,https://www.nysais.org/page.cfm?p=237
"Stony Brook School, The",Joshua Crane,joshua.crane@sbs.org,631-751-1800,https://www.nysais.org/page.cfm?p=238
Storm King School,Jonathan Lamb,jlamb@sks.org,845-534-7892,https://www.nysais.org/page.cfm?p=239
Studio School - Provisional Member,Janet Rotter,jrotter@studioschoolnyc.org,212-678-2416,https://www.nysais.org/page.cfm?p=291
Susan Odell Taylor School,Lianne Adams,ladams@taylorschool.org,518-274-4994,https://www.nysais.org/page.cfm?p=640
"Teak Fellowship, The - Association Member",Denise Brown Allen,dballen@teakfellowship.org,212-288-6678,https://www.nysais.org/page.cfm?p=4291
Town School,Douglas Brophy,dbrophy@townschool.org,212-288-4383,https://www.nysais.org/page.cfm?p=241
Trevor Day School,Scott Reisinger,sreisinger@trevor.org,212.426.3360,https://www.nysais.org/page.cfm?p=242
Trinity School,John Allman,john.allman@trinityschoolnyc.org,212-873-1650,https://www.nysais.org/page.cfm?p=243
Trinity-Pawling School,William Taylor,wtaylor@trinitypawling.org,845-855-3100,https://www.nysais.org/page.cfm?p=244
Tuxedo Park School,Stuart Johnson,sjohnson@tuxedoparkschool.org,845.351.4737,https://www.nysais.org/page.cfm?p=245
Twin Parks Montessori Schools - Associate Member,Susan Kambrich,skambrich@twinparks.org,(212) 595-2000,https://www.nysais.org/page.cfm?p=492
United Nations International School,Dan Brenner,dbrenner@unis.org,212-684-7400,https://www.nysais.org/page.cfm?p=246
"Ursuline School, The",Colleen Melnyk,melnykc@ursulinenewrochelle.org,914-636-3950,https://www.nysais.org/page.cfm?p=247
Village Community School,Jennifer Mitchell,jmitchell@vcs-nyc.org,212-691-5146,https://www.nysais.org/page.cfm?p=248
Vincent Smith School,John Baldi,jbaldi@vincentsmithschool.org,516-365-4900,https://www.nysais.org/page.cfm?p=249
Waldorf School of Garden City,Kelly O'Halogan,ohalogank@waldorfgarden.org,516-742-3434,https://www.nysais.org/page.cfm?p=250
Waldorf School of Saratoga Springs,Abigail Reid,administration@waldorfsaratoga.org,518-587-7643,https://www.nysais.org/page.cfm?p=1826
Washington Market School,Ronnie Moskowitz,business@wms-nyc.org,212-233-2176,https://www.nysais.org/page.cfm?p=2085
West End Day School,Carrie Catapano,ccatapano@westenddayschool.org,212-873-5708,https://www.nysais.org/page.cfm?p=251
West Side Montessori School,Mimi Donohue Basso,mbasso@wsmsnyc.org,212-662-8000,https://www.nysais.org/page.cfm?p=252
Westbury Friends School - Provisional Member,Christina Anderson,canderson@westburyfriends.org,516-333-3178,https://www.nysais.org/page.cfm?p=253
Windsor School - Associate Member,James Seery,admin@thewindsorschool.com,718-359-8300,https://www.nysais.org/page.cfm?p=254
"Windward School, The",Jamie Williamson,jwilliamson@thewindwardschool.org,914-949-6968,https://www.nysais.org/page.cfm?p=255
Winston Preparatory School,Scott Bezsylko,not found ,212-496-8400,https://www.nysais.org/page.cfm?p=256
Woodland Hill Montessori School,Michelle Edwards,medwards@woodlandhill.org,518-283-5400,https://www.nysais.org/page.cfm?p=271
Woodstock Day School,Jennifer Cinti,not found ,845-246-3744,https://www.nysais.org/page.cfm?p=257
Xavier High School,Jack Raslowsky,raslowskyj@xavierhs.org,212-924-7900,https://www.nysais.org/page.cfm?p=258
Yeshiva University High School for Boys - Provisional Member,Chaviva Fisher,cfisher@yuhsb.org,6465926150,https://www.nysais.org/page.cfm?p=4251
Yeshiva University High School for Girls,Chaviva Fisher,not found ,718-479-8550,https://www.nysais.org/page.cfm?p=3683
York Prep - Associate Member,Ronald P. Stewart,rstewart@yorkprep.org,212-362-0400,https://www.nysais.org/page.cfm?p=259
